ADM1_EN,February 2018,March 2018,April 2018,May 2018,June 2018,July 2018,August 2018,September 2018,October 2018,November 2018,December 2018,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019,September 2019,October 2019,November 2019,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021
Chiang Rai,59.32349653,96.22576764,68.7788849,17.52491959,11.645328,8.433720038,11.98130658,15.46998404,18.97804013,24.44679926,37.19705645,54.86751529,51.84207134,85.22014991,71.7337275,22.22000999,11.85583291,9.223854049,12.58459077,18.38635839,18.63968086,26.81861901,36.96691522,65.32802806,56.5469427,95.44679449,68.79115554,19.29913788,12.08845274,9.487188757,13.42395116,13.7324955,17.26459844,24.83867738,38.00034637,77.83213356,56.05895123,90.68398062,71.4975715,18.1722281,12.02609127,9.026608049,13.98798715,14.10252904,16.56351482,25.60491594,37.2494502
Chon Buri,46.63537597,83.07203554,48.19256828,17.47000659,10.30437255,9.457304433,15.36964345,16.83616814,21.44122049,23.65491002,30.675566,48.30394967,42.11021047,50.40149203,40.04283898,18.02712078,11.18035572,11.13265406,14.64267046,19.69201798,19.83779167,25.60679222,29.09240911,48.19074943,42.52544866,50.40532559,42.16089164,17.77474386,11.71590084,9.996130555,15.61329682,17.36921268,17.58972908,25.31883557,28.14613153,48.77051604,41.93393766,58.55633397,53.52122835,17.28861313,11.40702304,12.84207816,14.76935997,15.63969639,19.39911182,23.55204235,27.97263678
Chumphon,41.94615352,67.34052928,51.54449,16.96219947,11.22290629,15.60801777,15.12352353,18.32217188,21.89361413,25.5065215,33.29350476,51.62638098,39.06798951,72.29071415,54.07580034,15.93266609,11.43051582,12.84736613,14.90235527,21.10318108,19.70604302,26.63375762,31.17080121,50.97871954,36.87913992,60.36474036,38.60385316,17.01996078,12.64284195,11.54543581,15.22285123,17.67101233,18.01238461,26.02135921,37.04494589,52.2506993,38.92567588,53.1609397,57.10486904,16.19364029,12.47720452,15.04812975,15.01860562,17.00472643,19.59188809,27.66453889,33.40245639
Kalasin,48.64688448,72.66941358,59.97684554,20.37728251,10.85646327,8.15905607,12.88227196,16.12493299,22.1453543,23.8322852,28.97039625,42.71767125,48.15555691,57.67092425,63.93706724,19.5387085,11.66701413,8.756635775,13.66341978,19.56361198,21.41125553,24.48264269,29.3675024,47.06649392,45.5933998,71.96862961,58.76621326,21.15891886,11.98911994,8.396582835,14.23629398,15.3946277,17.9506776,24.71434844,27.99543182,47.56690164,43.82038423,77.03284819,69.60096772,19.39710643,11.07659501,8.612939789,14.42299497,14.51772542,19.16723932,23.07035603,29.3586042
Kamphaeng Phet,54.07059344,74.25733229,64.61478346,20.2042859,11.72454162,8.64314894,14.59055585,15.67615492,20.30207052,25.91180262,34.90896353,52.66406663,51.68007505,76.50598833,64.21597115,23.93115148,12.15732873,9.390239646,14.18725055,19.93701211,19.64092557,26.96344771,37.95486314,53.43192852,51.42380356,96.27361824,74.7896974,21.35939334,12.67800528,9.687786516,15.10060982,14.88672467,16.74032046,26.51327814,37.55063311,55.03829674,47.20347145,80.00358693,72.83341335,20.3443134,12.54988089,9.488982867,15.68067344,14.42029383,17.37181824,26.35625809,36.90348737
Kanchanaburi,53.56272816,87.64546424,64.09544261,17.50822749,11.13877675,11.62387612,16.02075552,17.97985671,21.78790804,25.74485341,32.10203263,52.39364771,52.98948722,82.97833918,63.00763489,17.41466678,11.64445103,12.19246703,16.23266786,20.98652576,20.46835559,27.09957703,33.07786416,55.80718606,51.20584025,89.59845466,74.92934086,17.67488418,12.32528601,11.23619822,15.17032782,16.70627401,16.93773582,26.34798779,31.05105527,52.47006949,48.90519031,91.18942772,70.44125005,17.15132825,12.2988561,12.40236309,15.12147942,16.3939331,18.03986998,26.51384089,29.98149287
Khon Kaen,53.00374169,79.02989539,61.7135482,20.4852527,10.65940027,7.868275461,13.70012767,16.11055071,22.28884167,24.36904728,29.71172942,45.25042775,50.47659141,67.06225501,63.04824574,20.52122665,11.65607407,9.01386857,14.63355775,19.55044725,20.94760073,25.19417367,31.12095835,49.96827804,47.79479963,80.15675606,60.78035715,20.97376838,12.21899677,8.673578117,14.88381562,14.96062894,17.56632421,24.95115082,29.87146199,49.85151399,46.13430074,82.88943565,69.2858275,19.919955,11.38852225,9.023638105,14.53396161,14.52162829,18.4913278,23.87116103,30.16908459
Krabi,42.47161128,109.9915449,60.98914526,17.53342555,11.55867754,14.69074092,15.22025315,18.98621,21.03444675,26.13683671,35.35848053,49.05700208,36.1264093,109.2953735,67.90834961,16.36324825,12.00386935,11.70640446,15.40297048,22.19478073,19.22358988,26.79583525,31.4131987,48.05088779,37.80384742,106.5125761,67.61154201,17.5566805,12.47140135,10.25632906,16.00739526,19.25534169,19.13825503,27.78514924,37.88921311,53.47256444,38.38891274,88.67709268,62.28911103,17.01981588,12.63532608,12.84135074,15.58658368,18.30150424,20.01010988,26.52014252,34.61214785
Lampang,55.91319565,91.87257804,68.25420534,18.15725022,11.39841605,8.041732716,13.03320566,16.03284539,20.40767622,25.84216842,36.3312657,53.52611469,52.28768722,82.46764668,66.33687256,21.78291706,11.69263051,9.781846879,13.08667383,19.42587688,19.63531563,27.46683221,36.82683933,62.84073449,50.53330639,74.11103297,64.60802184,18.9787235,12.08901265,9.609233757,14.10846663,14.71926295,17.79554947,26.07466153,35.92311309,63.36544023,52.2987038,90.32840769,70.28306159,18.16236994,11.87499588,9.130535905,14.47844171,14.34558165,17.31010012,27.04927324,35.59516657
Lamphun,55.60335483,90.05925569,65.22569131,17.59073705,11.22046457,8.357094116,14.0905073,16.76370781,20.36921899,26.30937849,35.92917296,52.87768165,52.52013084,75.68460078,62.67423087,21.58099035,11.6729029,10.44323378,13.92304151,19.99365148,19.80934303,27.67494703,36.73964506,61.56963334,50.34916447,77.00546596,65.37833162,18.55069495,12.09316674,9.785967448,14.09879835,14.88004314,17.90523207,26.15309243,35.21100115,64.07907353,53.21889248,95.9758814,66.53901535,18.24295713,11.84443879,9.744929946,14.83177396,15.06650735,17.54853128,26.66515906,35.69046681
Loei,55.8515541,77.7568383,62.58231731,17.49413255,11.15306552,9.153166693,14.71745476,16.9759502,21.18862591,25.80602875,33.69078479,48.22094375,51.16988424,75.98106694,60.91467802,20.06039787,11.83470787,10.75196655,14.56350067,20.34671975,19.92834457,27.06557054,35.13152962,53.97344357,51.21951896,73.23328343,56.61327434,18.49917633,12.00896923,10.08678894,14.82994991,15.54193556,17.59609262,25.27983168,33.66692267,59.70502951,51.23148531,79.50883166,66.35469321,18.07042727,11.33804863,10.43994914,15.36730179,15.30956602,17.60599779,26.03470323,33.13325795
Lop Buri,45.72505209,77.85912567,61.57381402,19.42930539,10.44654809,7.97836496,14.64194006,15.90359299,22.24776376,23.32643317,29.25853359,43.5991113,46.07837826,60.35882616,57.92835835,20.37903155,11.24996853,10.31433837,14.67435272,19.79345551,21.16972273,24.62792979,28.13654049,46.11492628,43.89713802,62.93086639,57.95631547,20.24061679,12.31220602,8.987271413,14.4921896,15.00550362,17.56641213,24.37792433,27.10562269,48.43593135,41.80493424,74.08038442,72.45150391,18.68850436,11.54934857,10.20009442,14.67275915,14.51378597,19.12371803,23.58334318,27.81150748
Mae Hong Son,55.64389847,91.31403399,67.93187706,16.11366835,11.96976979,9.581873489,13.44181756,16.67045009,18.86076886,25.00447627,36.54826682,51.89130118,51.16099268,77.9711421,65.7633708,18.64027584,12.14497634,11.74932641,13.60364271,19.90433856,18.98414663,25.96971137,35.97580356,55.2449111,57.89661726,72.41717888,56.3782035,16.81765144,12.54065796,10.66445929,14.25818363,15.86030141,17.81091497,25.45135725,34.88190036,78.69027577,54.9116772,91.73260779,71.00080103,16.67500087,12.37745377,10.58783559,14.68883025,16.1301873,17.10551671,26.33436708,36.00840314
Maha Sarakham,49.77878535,76.64369342,64.99797626,20.50647129,10.44531045,8.001740657,14.50614144,16.28091472,22.448075,23.75665623,28.8573658,42.62444734,49.72043806,65.97120524,67.80903375,19.73189355,11.3917503,8.895428043,15.1922193,19.41722875,21.16721747,24.33638611,28.05810925,45.33219042,46.28141345,84.74725879,58.46435579,21.21871188,12.07434431,8.602574647,14.25333318,14.93239658,17.18290323,25.65614957,27.01356643,44.07141605,41.999293,84.17791468,69.48021996,19.74360756,11.23867983,9.096199182,14.43183703,14.76909607,19.40870499,23.51341265,28.09601933
Mukdahan,46.43633002,70.80325203,61.42775573,19.83093446,10.30827681,8.492708359,13.15747138,16.33655498,23.02027974,23.63200949,27.50554472,41.6873361,47.59902658,59.00085607,69.92206735,18.82790221,11.53349556,9.046427103,13.39411707,19.60306221,22.05574331,24.72280402,27.70621047,44.63133923,44.11123213,77.54141135,56.87688241,20.16893528,11.7775607,8.407802242,14.11415148,15.59556228,18.52899571,25.29347228,26.7059578,46.03092614,41.88572306,76.45708068,62.77366521,18.85637519,11.07738603,8.951574464,14.94942653,14.51388138,21.43519066,24.49405696,28.06096172
Nakhon Nayok,51.36566064,114.287917,73.9238459,19.10590688,11.15210715,8.752016886,14.6574964,16.18246657,21.27709583,23.71193416,32.30366379,47.19614813,51.67772588,82.33322553,68.90184971,20.63723592,12.0163844,10.20523487,14.77748903,20.06748492,20.02848126,25.18831504,31.78488149,48.31896182,48.0732361,86.48167188,62.29869213,20.1899499,12.65102237,9.711828029,15.00712755,15.46075066,17.4792678,25.55641281,32.30065379,48.50456721,47.32774736,98.6585133,72.04945748,19.02874847,12.1510736,10.12896003,15.30800271,15.18677488,18.1026666,25.25637499,30.90638708
Nakhon Pathom,49.76011702,83.65692418,54.06690058,19.97505491,10.98701005,7.10563103,15.67865432,16.5261489,20.97992372,24.52140584,33.75842027,52.27186203,43.35053627,62.05549628,42.62718715,20.93124174,11.72175038,9.456900194,15.10440268,19.58424506,20.26678581,27.18348765,33.37991477,51.21299607,46.56578844,58.68708901,49.60705881,21.50509138,12.36106266,9.128188855,15.26270304,15.05330406,17.45903651,25.69815356,31.66663534,51.2093389,43.4512357,71.72279218,66.64515374,19.48381169,11.93177627,8.817060999,15.03744348,14.95955036,18.57313923,25.37558082,31.41569121
Nakhon Phanom,50.01119247,71.15860086,67.1685113,20.54023224,10.81998027,7.960234991,12.56956269,16.56230768,21.52987885,24.22219926,29.195806,42.57274839,47.57594262,62.62838064,73.39288112,20.07398773,11.81270571,8.408691065,12.92202403,19.13460839,20.74883753,25.13327648,30.77486845,48.13376798,47.88711394,83.34351736,61.81195322,21.53903269,11.93668002,7.973336986,13.83187805,14.9303286,18.16471588,24.65254162,29.62451274,47.71617727,46.68868977,78.96896324,72.45953597,19.98388036,10.82212879,8.097077544,14.63953959,14.32886251,18.48138471,23.72338215,30.25637256
