Date_Time,Id,CO,NOx,SO2,NMVOC,NH3,PM10,PM2.5,BC,OC,CO2,CH4,N2O
2023-04-01 08:00:00,10744,0.0427648,0.00100744,0.0002343839999999,0.0033307199999999,0.000312512,0.004112,0.00250832,0.000271392,0.00213824,0.649696,0.00279616,0.000106912
2023-04-01 08:00:00,10747,4484.1825,266.1435,24.6015,782.775,145.3725,447.3,436.1175,52.55775,78.2775,126362.25,514.395,29.0745
2023-04-01 20:00:00,26199,82782.34829999998,4867.102889999998,1060.7788349999996,14559.709499999995,8527.829849999998,19551.6099,17263.655549999996,1164.7767599999995,6447.871349999999,2448111.1545,19967.601599999995,540.7892099999998
2023-04-01 23:00:00,23557,165564.69659999997,9734.205779999997,2121.5576699999992,29119.41899999999,17055.659699999997,39103.21979999999,34527.31109999999,2329.5535199999995,12895.742699999995,4896222.308999999,39935.20319999999,1081.5784199999996
2023-04-01 23:00:00,23819,165564.69659999997,9734.205779999997,2121.5576699999992,29119.41899999999,17055.659699999997,39103.21979999999,34527.31109999999,2329.5535199999995,12895.742699999995,4896222.308999999,39935.20319999999,1081.5784199999996
2023-04-01 23:00:00,23821,0.0855296,0.00201488,0.0004687679999999,0.0066614399999999,0.000625024,0.008224,0.00501664,0.000542784,0.00427648,1.299392,0.00559232,0.000213824
2023-04-01 23:00:00,24083,82782.34829999998,4867.102889999998,1060.7788349999996,14559.709499999995,8527.829849999998,19551.6099,17263.655549999996,1164.7767599999995,6447.871349999999,2448111.1545,19967.601599999995,540.7892099999998
2023-04-02 11:00:00,11532,0.0427648,0.00100744,0.0002343839999999,0.0033307199999999,0.000312512,0.004112,0.00250832,0.000271392,0.00213824,0.649696,0.00279616,0.000106912
2023-04-02 14:00:00,20691,0.0427648,0.00100744,0.0002343839999999,0.0033307199999999,0.000312512,0.004112,0.00250832,0.000271392,0.00213824,0.649696,0.00279616,0.000106912
2023-04-02 16:00:00,20165,0.0427648,0.00100744,0.0002343839999999,0.0033307199999999,0.000312512,0.004112,0.00250832,0.000271392,0.00213824,0.649696,0.00279616,0.000106912
2023-04-02 16:00:00,20427,0.0427648,0.00100744,0.0002343839999999,0.0033307199999999,0.000312512,0.004112,0.00250832,0.000271392,0.00213824,0.649696,0.00279616,0.000106912
2023-04-02 16:00:00,20429,0.0427648,0.00100744,0.0002343839999999,0.0033307199999999,0.000312512,0.004112,0.00250832,0.000271392,0.00213824,0.649696,0.00279616,0.000106912
2023-04-02 16:00:00,20691,0.0427648,0.00100744,0.0002343839999999,0.0033307199999999,0.000312512,0.004112,0.00250832,0.000271392,0.00213824,0.649696,0.00279616,0.000106912
2023-04-02 17:00:00,20165,0.0427648,0.00100744,0.0002343839999999,0.0033307199999999,0.000312512,0.004112,0.00250832,0.000271392,0.00213824,0.649696,0.00279616,0.000106912
2023-04-02 17:00:00,20427,0.0427648,0.00100744,0.0002343839999999,0.0033307199999999,0.000312512,0.004112,0.00250832,0.000271392,0.00213824,0.649696,0.00279616,0.000106912
2023-04-02 17:00:00,20429,0.0427648,0.00100744,0.0002343839999999,0.0033307199999999,0.000312512,0.004112,0.00250832,0.000271392,0.00213824,0.649696,0.00279616,0.000106912
2023-04-02 17:00:00,20691,0.0427648,0.00100744,0.0002343839999999,0.0033307199999999,0.000312512,0.004112,0.00250832,0.000271392,0.00213824,0.649696,0.00279616,0.000106912
2023-04-02 22:00:00,24747,82782.34829999998,4867.102889999998,1060.7788349999996,14559.709499999995,8527.829849999998,19551.6099,17263.655549999996,1164.7767599999995,6447.871349999999,2448111.1545,19967.601599999995,540.7892099999998
2023-04-02 22:00:00,27657,0.0427648,0.00100744,0.0002343839999999,0.0033307199999999,0.000312512,0.004112,0.00250832,0.000271392,0.00213824,0.649696,0.00279616,0.000106912
2023-04-02 23:00:00,24738,30007.0305,1780.9659,164.6271,1646.2710000000002,748.305,2993.22,2843.559,583.6779,2469.4065,845584.65,299.322,194.5593
2023-04-02 23:00:00,24740,82782.34829999998,4867.102889999998,1060.7788349999996,14559.709499999995,8527.829849999998,19551.6099,17263.655549999996,1164.7767599999995,6447.871349999999,2448111.1545,19967.601599999995,540.7892099999998
2023-04-02 23:00:00,24743,82782.34829999998,4867.102889999998,1060.7788349999996,14559.709499999995,8527.829849999998,19551.6099,17263.655549999996,1164.7767599999995,6447.871349999999,2448111.1545,19967.601599999995,540.7892099999998
2023-04-02 23:00:00,25000,82782.34829999998,4867.102889999998,1060.7788349999996,14559.709499999995,8527.829849999998,19551.6099,17263.655549999996,1164.7767599999995,6447.871349999999,2448111.1545,19967.601599999995,540.7892099999998
2023-04-02 23:00:00,25002,82782.34829999998,4867.102889999998,1060.7788349999996,14559.709499999995,8527.829849999998,19551.6099,17263.655549999996,1164.7767599999995,6447.871349999999,2448111.1545,19967.601599999995,540.7892099999998
2023-04-02 23:00:00,25004,0.0427648,0.00100744,0.0002343839999999,0.0033307199999999,0.000312512,0.004112,0.00250832,0.000271392,0.00213824,0.649696,0.00279616,0.000106912
2023-04-02 23:00:00,27657,0.0855296,0.00201488,0.0004687679999999,0.0066614399999999,0.000625024,0.008224,0.00501664,0.000542784,0.00427648,1.299392,0.00559232,0.000213824
2023-04-02 23:00:00,27659,0.0427648,0.00100744,0.0002343839999999,0.0033307199999999,0.000312512,0.004112,0.00250832,0.000271392,0.00213824,0.649696,0.00279616,0.000106912
2023-04-03 07:00:00,29786,0.0855296,0.00201488,0.0004687679999999,0.0066614399999999,0.000625024,0.008224,0.00501664,0.000542784,0.00427648,1.299392,0.00559232,0.000213824
