stationID,Date_Time,Date,time,PM25,PM10,O3,CO,NO2,SO2,AQI-Level,AQI-Score
bkp56t,15/4/2023 20:00,15/4/2023,20:00,51,-1,-1,-1,-1,-1,4,101
bkp57t,15/4/2023 20:00,15/4/2023,20:00,45,-1,-1,-1,-1,-1,3,80
bkp58t,15/4/2023 20:00,15/4/2023,20:00,51,-1,-1,-1,-1,-1,4,101
bkp59t,15/4/2023 20:00,15/4/2023,20:00,51,-1,-1,-1,-1,-1,4,101
bkp60t,15/4/2023 20:00,15/4/2023,20:00,53,-1,-1,-1,-1,-1,4,106
bkp62t,15/4/2023 20:00,15/4/2023,20:00,56,-1,-1,-1,-1,-1,4,114
bkp63t,15/4/2023 20:00,15/4/2023,20:00,53,-1,-1,-1,-1,-1,4,106
bkp64t,15/4/2023 20:00,15/4/2023,20:00,59,-1,-1,-1,-1,-1,4,121
bkp65t,15/4/2023 20:00,15/4/2023,20:00,67,-1,-1,-1,-1,-1,4,142
bkp66t,15/4/2023 20:00,15/4/2023,20:00,55,-1,-1,-1,-1,-1,4,111
bkp67t,15/4/2023 20:00,15/4/2023,20:00,84,-1,-1,-1,-1,-1,4,185
bkp69t,15/4/2023 20:00,15/4/2023,20:00,59,-1,-1,-1,-1,-1,4,121
bkp70t,15/4/2023 20:00,15/4/2023,20:00,53,-1,-1,-1,-1,-1,4,106
bkp71t,15/4/2023 20:00,15/4/2023,20:00,50,-1,-1,-1,-1,-1,3,100
bkp72t,15/4/2023 20:00,15/4/2023,20:00,61,-1,-1,-1,-1,-1,4,126
bkp73t,15/4/2023 20:00,15/4/2023,20:00,65,-1,-1,-1,-1,-1,4,137
bkp74t,15/4/2023 20:00,15/4/2023,20:00,52,-1,-1,-1,-1,-1,4,104
bkp75t,15/4/2023 20:00,15/4/2023,20:00,52,-1,-1,-1,-1,-1,4,104
bkp77t,15/4/2023 20:00,15/4/2023,20:00,55,-1,-1,-1,-1,-1,4,111
bkp78t,15/4/2023 20:00,15/4/2023,20:00,57,-1,-1,-1,-1,-1,4,116
bkp79t,15/4/2023 20:00,15/4/2023,20:00,55,-1,-1,-1,-1,-1,4,111
bkp80t,15/4/2023 20:00,15/4/2023,20:00,53,-1,-1,-1,-1,-1,4,106
bkp81t,15/4/2023 20:00,15/4/2023,20:00,61,-1,-1,-1,-1,-1,4,126
bkp82t,15/4/2023 20:00,15/4/2023,20:00,53,-1,-1,-1,-1,-1,4,106
bkp83t,15/4/2023 20:00,15/4/2023,20:00,64,-1,-1,-1,-1,-1,4,134
bkp84t,15/4/2023 20:00,15/4/2023,20:00,61,-1,-1,-1,-1,-1,4,126
bkp85t,15/4/2023 20:00,15/4/2023,20:00,70,-1,-1,-1,-1,-1,4,149
bkp86t,15/4/2023 20:00,15/4/2023,20:00,60,-1,-1,-1,-1,-1,4,124
bkp87t,15/4/2023 20:00,15/4/2023,20:00,61,-1,-1,-1,-1,-1,4,126
bkp88t,15/4/2023 20:00,15/4/2023,20:00,58,-1,-1,-1,-1,-1,4,119
bkp89t,15/4/2023 20:00,15/4/2023,20:00,58,-1,-1,-1,-1,-1,4,119
bkp90t,15/4/2023 20:00,15/4/2023,20:00,56,-1,-1,-1,-1,-1,4,114
bkp91t,15/4/2023 20:00,15/4/2023,20:00,55,-1,-1,-1,-1,-1,4,111
bkp92t,15/4/2023 20:00,15/4/2023,20:00,67,-1,-1,-1,-1,-1,4,142
bkp93t,15/4/2023 20:00,15/4/2023,20:00,52,-1,-1,-1,-1,-1,4,104
bkp94t,15/4/2023 20:00,15/4/2023,20:00,67,-1,-1,-1,-1,-1,4,142
bkp95t,15/4/2023 20:00,15/4/2023,20:00,60,-1,-1,-1,-1,-1,4,124
bkp96t,15/4/2023 20:00,15/4/2023,20:00,50,-1,-1,-1,-1,-1,3,100
bkp97t,15/4/2023 20:00,15/4/2023,20:00,59,-1,-1,-1,-1,-1,4,121
bkp98t,15/4/2023 20:00,15/4/2023,20:00,54,-1,-1,-1,-1,-1,4,109
bkp99t,15/4/2023 20:00,15/4/2023,20:00,49,-1,-1,-1,-1,-1,3,96
o26,15/4/2023 20:00,15/4/2023,20:00,59,-1,-1,-1,-1,-1,4,121
94t,15/4/2023 20:00,15/4/2023,20:00,86,121,51,0.81,48,2,4,190
46t,15/4/2023 20:00,15/4/2023,20:00,62,-1,-1,-1,-1,-1,4,129
100t,15/4/2023 20:00,15/4/2023,20:00,49,69,28,0.5,14,1,3,96
32t,15/4/2023 20:00,15/4/2023,20:00,54,-1,-1,-1,-1,-1,4,109
33t,15/4/2023 20:00,15/4/2023,20:00,50,-1,-1,-1,-1,-1,3,100
34t,15/4/2023 20:00,15/4/2023,20:00,48,-1,52,-1,-1,-1,3,92
o23,15/4/2023 20:00,15/4/2023,20:00,79,-1,-1,-1,-1,-1,4,172
