,Predicted_PM2.5,PM2.5_station,month
2019-01-04 09:00:00,53.84966786301369,28.717391304347824,1
2019-01-04 10:00:00,51.83079339726027,27.347826086956523,1
2019-01-04 11:00:00,45.86527497945205,25.91304347826087,1
2019-01-04 12:00:00,50.62385271232877,23.666666666666668,1
2019-01-04 13:00:00,54.338878657534245,23.0,1
2019-01-04 14:00:00,53.22634890410959,21.127659574468087,1
2019-01-04 15:00:00,56.08709420547945,20.130434782608695,1
2019-01-04 16:00:00,53.42519823287671,20.106382978723403,1
2019-01-05 09:00:00,65.37173823287671,29.425531914893618,1
2019-01-05 10:00:00,52.65858842465754,29.25531914893617,1
2019-01-05 11:00:00,48.09961061643836,29.0,1
2019-01-05 12:00:00,47.7352349041096,29.80851063829787,1
2019-01-05 13:00:00,50.1571747260274,27.595744680851062,1
2019-01-05 14:00:00,50.40226364383562,25.70212765957447,1
2019-01-05 15:00:00,52.60413526027397,26.434782608695652,1
2019-01-05 16:00:00,54.19086049315069,26.02173913043478,1
2019-01-09 09:00:00,62.76611124657535,24.613636363636363,1
2019-01-09 10:00:00,64.86586039726026,25.043478260869566,1
2019-01-09 11:00:00,60.37364369863014,23.318181818181817,1
2019-01-09 12:00:00,57.43877497260273,23.377777777777776,1
2019-01-09 13:00:00,55.2534248630137,22.565217391304348,1
2019-01-09 14:00:00,51.29563894520548,22.977272727272727,1
2019-01-09 15:00:00,52.14809052054794,23.32608695652174,1
2019-01-09 16:00:00,52.88054387671234,24.46808510638298,1
2019-01-10 09:00:00,58.74448589041097,32.833333333333336,1
2019-01-10 10:00:00,52.94068508219178,34.75,1
2019-01-10 11:00:00,55.01098091780822,34.375,1
2019-01-10 12:00:00,53.59029556164384,35.680851063829785,1
2019-01-10 13:00:00,52.773017712328766,32.97826086956522,1
2019-01-10 14:00:00,48.41571769863014,32.12765957446808,1
2019-01-10 15:00:00,46.817867726027394,31.425531914893618,1
2019-01-10 16:00:00,48.012965219178085,32.40425531914894,1
2019-01-11 09:00:00,63.10987161643836,58.833333333333336,1
